Date;Time;SerialNo;Hardware;ProductionDate;Software;MemorySize;TargetDevice;BatteryDate;Capacity;BattUsage;Voltage;CodeNo;Mode;OpTime;Rtc;Autosend;Readout;ExtProt;Sprint_4ms;Card6with192punches;StopIfBackupFull;AirPlusTimingMode;AirPlusRadioMode;EcoMode;AllowGateMode;Action;

Date;Time;SerialNo;Hardware;ProductionDate;Software;MemorySize;TargetDevice;BatteryDate;Capacity;BattUsage;Voltage;CodeNo;Mode;OpTime;Rtc;Autosend;Readout;ExtProt;Sprint_4ms;Card6with192punches;StopIfBackupFull;AirPlusTimingMode;AirPlusRadioMode;EcoMode;AllowGateMode;Action;
2017-08-07;16:55:19;131947;BSF7;2010.07.30.;656;128 K;Remote;2010.07.30.;2000;31,1 %;3,02;113;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:55:26;74529;BSF7;2005.07.19.;656;128 K;Remote;2005.07.19.;2000;13,0 %;3,08;114;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:55:35;74558;BSF7;2005.07.19.;656;128 K;Remote;2005.07.19.;2000;11,8 %;2,98;115;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:55:45;74545;BSF7;2005.07.19.;656;128 K;Remote;2005.07.19.;2000;16,0 %;3,11;116;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:55:55;74543;BSF7;2005.07.19.;656;128 K;Remote;2005.07.19.;2000;7,9 %;3,45;117;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:56:02;74541;BSF7;2005.07.19.;656;128 K;Remote;2005.07.19.;2000;9,0 %;3,42;118;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:56:12;74481;BSF7;2005.07.13.;656;128 K;Remote;2005.07.13.;2000;4,2 %;3,45;119;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:56:30;79111;BSF7;2006.11.24.;580;128 K;Remote;2011.11.11.;2000;5,1 %;3,41;120;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:56:47;79164;BSF7;2006.11.24.;580;128 K;Remote;2006.11.24.;2000;64,3 %;3,16;121;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:56:59;79164;BSF7;2006.11.24.;580;128 K;Remote;2006.11.24.;2000;64,3 %;3,16;122;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
2017-08-07;16:57:22;79164;BSF7;2006.11.24.;580;128 K;Remote;2006.11.24.;2000;64,3 %;3,16;121;Control; 04:00:00;RealTimeClock!; -;N/A;ExtendedProtocol;N/A; -;N/A;N/A;N/A;N/A;N/A;ConfigWritten;
